Patch;Eclairage;L;a;b
Patch 6;RB1;23.615911125774446;-6.820708920853264;2.7575499157678762
Patch 6;RB2;24.82852053092556;-11.01942424072308;4.348422551188147
Patch 6;V1;29.82447093676287;-33.763897310641944;13.929433151445924
Patch 6;V2;25.88131356440391;-17.235583942178973;7.0463048118935445
Patch 7;B1;33.46076538005354;-10.841622667183358;3.8012212337176
Patch 7;B2;34.69686321527348;-13.164079149620894;4.278397833720593
Patch 7;C;36.10679953742678;-15.024795194636203;1.8280761899866382
Patch 7;DR1;22.864387400173882;-0.11204035069742324;-13.213541021327524
Patch 7;DR2;23.243624821370105;-1.1953743993765864;-13.19874568305618
Patch 7;FR1;23.919252574744185;-2.5968785576676034;-12.325378165828937
Patch 7;FR2;26.935289757227842;-10.26103821933469;-7.03775336580984
Patch 7;FR3;27.06367780108218;-10.697263613519164;-6.5229285232519585
Patch 7;G1;35.0191557657218;-15.162470694377456;-2.1351241572707402
Patch 7;G2;33.42798217468294;-14.024772477214315;-4.371162306319498
Patch 7;L;28.757252386834097;-19.09946017286468;-10.277549645792995
Patch 7;OR;21.434101251892642;-0.1079021667004798;-9.804847369408298
Patch 7;PC_A;23.245060846838513;-4.333171286379722;-11.798935882259276
Patch 7;R1;21.666422003602243;0.030496748227665238;-12.020296438671952
Patch 7;R2;22.20813501575767;0.07929226119587907;-13.616567286923187
Patch 7;RB1;30.359350813458363;-2.136511919636236;0.7839477109146675
Patch 7;RB2;31.221749490017558;-4.569234596942001;1.6724529721473425
Patch 7;V1;30.44364877697179;-8.755593705426085;3.3011074879386038
Patch 7;V2;29.796335511543788;-2.8997138427006295;1.073800471698294
Patch 8;B1;47.30442660915378;10.22514655934642;-4.159894617274351
Patch 8;B2;45.86764734300632;12.758945487888141;-5.51086677324113
Patch 8;C;41.36606983625716;-5.555375296666082;-9.236120487365184
Patch 8;DR1;24.039131993526894;-0.028508365596618956;-44.141293646847814
Patch 8;DR2;24.43932986275143;-1.0197397853307644;-42.900335651160525
Patch 8;FR1;25.212580668040346;-2.3540611807679745;-41.00532135708479
Patch 8;FR2;28.527120101969693;-6.694833669714406;-35.34781530725165
Patch 8;FR3;28.609609988855752;-5.786891171586178;-35.0052933202393
Patch 8;G1;37.28052016556723;-19.56577689324024;-11.189434123176433
Patch 8;G2;34.57986443544109;-16.71445035060426;-12.639232445350746
Patch 8;L;29.67496529084962;-19.70446189194075;-24.24567187500566
Patch 8;OR;22.40854306800948;-0.09313284823428414;-30.750164834165705
Patch 8;PC_A;23.930050918929552;-3.3760702040293578;-38.844434998106024
Patch 8;R1;22.657490577240445;0.05283594701854799;-38.540829423357536
Patch 8;R2;23.28148571524207;0.11692298151716463;-43.19958882042221
Patch 8;RB1;49.469043793170485;3.64618794416105;-1.5708861376271255
Patch 8;RB2;49.110990206874945;5.390853618525426;-2.2433179396132097
Patch 8;V1;40.95945739300386;19.726606018179382;-8.571551262630805
Patch 8;V2;45.60741324285332;10.870440921206924;-4.62574149563153
Patch 9;B1;58.38146367376034;24.637489914732914;-9.451803548503769
Patch 9;B2;55.08545184430183;29.744481211440743;-11.680819057707792
Patch 9;C;46.82911448347068;2.780870934431634;-16.179763798434976
Patch 9;DR1;26.554714522295654;0.07007770556227699;-66.31967301812371
Patch 9;DR2;26.930058600216505;-0.8499544645831636;-64.18429651299247
Patch 9;FR1;27.753282357036483;-2.1520047362214854;-61.62656685900021
Patch 9;FR2;31.545840312485865;-3.4291995168913294;-55.34243549214174
Patch 9;FR3;31.625605383057966;-1.07336097580929;-55.419782460701185
Patch 9;G1;40.80719931486753;-21.856039056273204;-17.25496317945503
Patch 9;G2;37.39289952380977;-18.297697112347354;-18.43660850473956
Patch 9;L;32.26171620865107;-20.371490810043884;-35.117276022645925
Patch 9;OR;24.583413833938273;-0.1569785670842705;-47.175289996802285
Patch 9;PC_A;26.21813178227481;-3.102616113899032;-59.023098358958784
Patch 9;R1;24.813858756629827;0.03916174994472721;-58.767463072055534
Patch 9;R2;25.57185429992292;0.1648760562193985;-65.04017050731736
Patch 9;RB1;65.15710949453008;8.194036178759244;-3.3738055918261622
Patch 9;RB2;63.42544289308064;13.256653871279722;-5.248082553493383
Patch 9;V1;51.26625066654837;37.396780468735955;-15.909810827027403
Patch 9;V2;59.64063528310591;18.96864013154659;-7.97036584819848
Patch 10;B1;64.14662070452286;28.50715809128246;-10.84519842473506
Patch 10;B2;60.395800636641624;33.98699792532106;-13.179447432228297
Patch 10;C;51.408587754915516;5.053281998763815;-17.541339772793705
Patch 10;DR1;32.205921025303155;0.15727873140372606;-69.07763832300321
Patch 10;DR2;32.388471145490804;-0.6040268269881244;-67.04880326349189
Patch 10;FR1;33.03205626564265;-1.6970057705137376;-64.69775007600511
Patch 10;FR2;36.5547702293217;-1.48121361955858;-58.86618769419945
Patch 10;FR3;36.603750735172405;1.242378245417869;-59.46657958897325
Patch 10;G1;45.18788570146242;-21.050241848264484;-18.12769190472825
Patch 10;G2;41.80892808667582;-17.454256120341572;-19.070838957379664
Patch 10;L;36.93235047001182;-18.584381108311398;-36.88448250987699
Patch 10;OR;29.78580746709025;-0.23007598431176723;-49.523239670319164
Patch 10;PC_A;31.40283467083156;-2.6517837902528263;-61.986988901446125
Patch 10;R1;29.98740029727177;0.016319412462800775;-62.1275316955071
Patch 10;R2;30.924002779024946;0.22092099720144587;-68.44742796538361
Patch 10;RB1;72.55605031515073;10.398156822036153;-4.219135386311046
Patch 10;RB2;70.15289540986332;16.066217341905276;-6.295093716733469
Patch 10;V1;57.78434714513338;44.42146545785708;-18.7826464829596
Patch 10;V2;67.29778291335913;22.717689175951016;-9.48200916596187
Patch 11;B1;37.8330358936158;-50.042136462295744;19.285351178611055
Patch 11;B2;43.14292012773726;-60.1406479663795;23.209011288808
Patch 11;C;53.59849419694278;-28.953285666868332;19.55957797660823
Patch 11;DR1;39.11998781624269;-0.18004795936044093;21.821577505971767
Patch 11;DR2;39.34265736107502;-1.9603146067690425;19.818727501907883
Patch 11;FR1;40.004396810140626;-4.3005497010713825;19.12018260479392
Patch 11;FR2;44.7208343031808;-18.173919650540824;26.655456223488304
Patch 11;FR3;45.01401288649764;-19.365672452285377;27.814017836489214
Patch 11;G1;55.83998686069458;-17.112727471888746;8.065969720384135
Patch 11;G2;54.65777931780855;-17.652099522245113;2.693885729270651
Patch 11;L;48.16708211973781;-26.707338704746675;-0.3297234121344639
Patch 11;OR;36.86054619522768;-0.5276799706276369;7.440336932693925
Patch 11;PC_A;40.553503382556045;-7.620673964390646;13.372290073742388
Patch 11;R1;36.95210716323992;-0.1621369924156013;12.784756381551588
Patch 11;R2;37.82090833583135;0.11153766322885561;17.22253250894625
Patch 11;RB1;27.44108705057524;-15.709730978599568;6.388303537356199
Patch 11;RB2;29.639731989498657;-23.46904158284818;9.368510829680698
Patch 11;V1;40.86804197074337;-71.98377278808698;29.854352024869225
Patch 11;V2;32.9541158541302;-39.85562984580468;16.33047216243666
Patch 12;B1;40.371052290641636;-48.07437427891092;18.121485766477885
Patch 12;B2;45.48887159552133;-58.19910611620202;21.555124033154584
Patch 12;C;54.799754952517745;-35.029412602593126;16.533649559251053
Patch 12;DR1;32.979763898902014;-0.3632071342059007;6.309884763176754
Patch 12;DR2;33.456813412453734;-2.9617198881524143;4.724817273772553
Patch 12;FR1;34.48934913914871;-6.445834245193904;4.747929439950993
Patch 12;FR2;40.999732334936766;-25.503441884569128;15.597646696402068
Patch 12;FR3;41.4151644179208;-26.612932058975414;16.939592412042657
